Gene_A	Gene_B	Weight
ENSG00000003756	ENSG00000005075	7.5E-3
ENSG00000002822	ENSG00000007168	9.1E-3
ENSG00000005249	ENSG00000007168	9.6E-3
ENSG00000004897	ENSG00000008018	1.9E-2
ENSG00000005339	ENSG00000008838	1.9E-2
ENSG00000006125	ENSG00000010610	7.5E-2
ENSG00000006607	ENSG00000010810	7.2E-2
ENSG00000005075	ENSG00000011007	1.4E-2
ENSG00000003756	ENSG00000011304	1.2E-2
ENSG00000005075	ENSG00000011304	7.5E-3
ENSG00000005075	ENSG00000012061	1.4E-2
ENSG00000008018	ENSG00000281221	1.8E-2
ENSG00000008441	ENSG00000013503	7.6E-2
ENSG00000006634	ENSG00000014138	2.9E-2
ENSG00000002330	ENSG00000015475	2.5E-1
ENSG00000005075	ENSG00000020426	6.6E-3
ENSG00000011007	ENSG00000020426	1.9E-2
ENSG00000012061	ENSG00000020426	1.9E-2
ENSG00000004779	ENSG00000283447	2.3E-2
ENSG00000013503	ENSG00000023608	4.2E-2
ENSG00000001084	ENSG00000023909	1E0
ENSG00000002822	ENSG00000030066	8.9E-3
ENSG00000007168	ENSG00000030066	5.6E-3
ENSG00000015475	ENSG00000030110	6.3E-1
ENSG00000002822	ENSG00000031691	1.2E-2
ENSG00000007168	ENSG00000031691	7.8E-3
ENSG00000030066	ENSG00000031691	7.6E-3
ENSG00000014138	ENSG00000035928	4E-2
ENSG00000005249	ENSG00000037042	1.5E-2
ENSG00000007168	ENSG00000037042	9.3E-3
ENSG00000005007	ENSG00000037241	1.4E-2
ENSG00000021852	ENSG00000039537	1.7E-1
ENSG00000002822	ENSG00000040275	1.4E-2
ENSG00000007168	ENSG00000040275	9.1E-3
ENSG00000030066	ENSG00000040275	8.9E-3
ENSG00000031691	ENSG00000040275	1.2E-2
ENSG00000004897	ENSG00000041357	1.9E-2
ENSG00000008018	ENSG00000041357	1.7E-2
ENSG00000281221	ENSG00000041357	1.8E-2
ENSG00000005339	ENSG00000042429	1.9E-2
ENSG00000008838	ENSG00000042429	1.9E-2
ENSG00000006125	ENSG00000042753	5.1E-2
ENSG00000010610	ENSG00000042753	7.8E-2
ENSG00000015285	ENSG00000043462	8.3E-1
ENSG00000005249	ENSG00000046651	1.6E-2
ENSG00000007168	ENSG00000046651	9.6E-3
ENSG00000037042	ENSG00000046651	1.5E-2
ENSG00000006125	ENSG00000047249	7E-2
ENSG00000010610	ENSG00000047249	1.1E-1
ENSG00000042753	ENSG00000047249	7.3E-2
ENSG00000003756	ENSG00000047315	7.5E-3
ENSG00000005075	ENSG00000047315	4.9E-3
ENSG00000011007	ENSG00000047315	1.4E-2
ENSG00000011304	ENSG00000047315	7.5E-3
ENSG00000012061	ENSG00000047315	1.4E-2
ENSG00000020426	ENSG00000047315	6.6E-3
ENSG00000030066	ENSG00000047410	1E-2
ENSG00000031691	ENSG00000048649	2.8E-2
ENSG00000005075	ENSG00000049167	1.9E-2
ENSG00000012061	ENSG00000049167	5.4E-2
ENSG00000020426	ENSG00000049167	2.6E-2
ENSG00000047315	ENSG00000049167	1.9E-2
ENSG00000014138	ENSG00000049541	5.8E-2
ENSG00000035928	ENSG00000049541	1E-1
ENSG00000005884	ENSG00000050555	4.6E-1
ENSG00000005961	ENSG00000050820	2.6E-1
ENSG00000002016	ENSG00000051180	2.6E-1
ENSG00000010810	ENSG00000051382	7.1E-2
ENSG00000008018	ENSG00000053900	1.6E-2
ENSG00000281221	ENSG00000053900	1.8E-2
ENSG00000041357	ENSG00000053900	1.6E-2
ENSG00000005249	ENSG00000276111	1.6E-2
ENSG00000007168	ENSG00000276111	9.6E-3
ENSG00000037042	ENSG00000276111	1.5E-2
ENSG00000046651	ENSG00000276111	1.6E-2
ENSG00000020922	ENSG00000054796	5E-1
ENSG00000003436	ENSG00000057593	3.1E-1
ENSG00000008441	ENSG00000058600	7.6E-2
ENSG00000013503	ENSG00000058600	2.7E-2
ENSG00000023608	ENSG00000058600	4.2E-2
ENSG00000005075	ENSG00000282752	1.4E-2
ENSG00000011007	ENSG00000282752	3.9E-2
ENSG00000020426	ENSG00000282752	1.8E-2
ENSG00000047315	ENSG00000282752	1.4E-2
ENSG00000003756	ENSG00000060339	1.2E-2
ENSG00000005075	ENSG00000060339	7.5E-3
ENSG00000011304	ENSG00000060339	1.2E-2
ENSG00000047315	ENSG00000060339	7.5E-3
ENSG00000003756	ENSG00000060688	1.2E-2
ENSG00000005075	ENSG00000060688	7.5E-3
ENSG00000011304	ENSG00000060688	1.2E-2
ENSG00000047315	ENSG00000060688	7.5E-3
ENSG00000060339	ENSG00000060688	1.2E-2
ENSG00000008441	ENSG00000061337	7.6E-2
ENSG00000013503	ENSG00000061337	2.7E-2
ENSG00000023608	ENSG00000061337	4.2E-2
ENSG00000058600	ENSG00000061337	2.7E-2
ENSG00000014138	ENSG00000062822	4.1E-2
ENSG00000005007	ENSG00000063177	1.4E-2
ENSG00000037241	ENSG00000063177	1E-2
ENSG00000003756	ENSG00000063244	1E-2
ENSG00000005075	ENSG00000063244	6.6E-3
ENSG00000011304	ENSG00000063244	1E-2
ENSG00000030066	ENSG00000063244	7E-3
ENSG00000047315	ENSG00000063244	6.6E-3
ENSG00000060339	ENSG00000063244	1E-2
ENSG00000060688	ENSG00000063244	1E-2
ENSG00000006125	ENSG00000063245	7.6E-2
ENSG00000042753	ENSG00000063245	7.9E-2
ENSG00000005339	ENSG00000063322	1.9E-2
ENSG00000008838	ENSG00000063322	1.9E-2
ENSG00000042429	ENSG00000063322	1.9E-2
ENSG00000008294	ENSG00000064309	1.7E-1
ENSG00000030066	ENSG00000064703	1.4E-2
ENSG00000047410	ENSG00000064703	2.6E-2
ENSG00000004487	ENSG00000064961	2E-1
ENSG00000005075	ENSG00000064995	1.4E-2
ENSG00000020426	ENSG00000064995	1.8E-2
ENSG00000047315	ENSG00000064995	1.4E-2
ENSG00000006634	ENSG00000065328	3.6E-2
ENSG00000014138	ENSG00000065328	2.8E-2
ENSG00000004779	ENSG00000065518	2.3E-2
ENSG00000283447	ENSG00000065518	2.3E-2
ENSG00000053747	ENSG00000065618	2.3E-1
ENSG00000058085	ENSG00000065618	2.3E-1
ENSG00000003756	ENSG00000065978	1.2E-2
ENSG00000005075	ENSG00000065978	7.5E-3
ENSG00000011304	ENSG00000065978	1.2E-2
ENSG00000047315	ENSG00000065978	7.5E-3
ENSG00000060339	ENSG00000065978	1.2E-2
ENSG00000060688	ENSG00000065978	1.2E-2
ENSG00000063244	ENSG00000065978	1E-2
ENSG00000012048	ENSG00000066923	3.3E-2
ENSG00000054654	ENSG00000066923	3.8E-2
ENSG00000064309	ENSG00000067141	2.2E-1
ENSG00000065320	ENSG00000067141	1.6E-1
ENSG00000037241	ENSG00000067167	1.4E-2
ENSG00000063177	ENSG00000067167	1.4E-2
ENSG00000064300	ENSG00000067560	1.3E-1
ENSG00000020426	ENSG00000068654	2.4E-2
ENSG00000068079	ENSG00000068745	5.4E-2
ENSG00000002822	ENSG00000068796	1.4E-2
ENSG00000007168	ENSG00000068796	9.1E-3
ENSG00000030066	ENSG00000068796	8.9E-3
ENSG00000031691	ENSG00000068796	1.2E-2
ENSG00000040275	ENSG00000068796	1.4E-2
ENSG00000004897	ENSG00000068878	1.9E-2
ENSG00000008018	ENSG00000068878	1.7E-2
ENSG00000281221	ENSG00000068878	1.8E-2
ENSG00000041357	ENSG00000068878	1.7E-2
ENSG00000053900	ENSG00000068878	1.6E-2
ENSG00000067177	ENSG00000068976	2.9E-1
ENSG00000002822	ENSG00000069248	8.9E-3
ENSG00000007168	ENSG00000069248	5.6E-3
ENSG00000030066	ENSG00000069248	5.5E-3
ENSG00000031691	ENSG00000069248	7.6E-3
ENSG00000040275	ENSG00000069248	8.9E-3
ENSG00000047410	ENSG00000069248	1E-2
ENSG00000063244	ENSG00000069248	7E-3
ENSG00000064703	ENSG00000069248	1.4E-2
ENSG00000068796	ENSG00000069248	8.9E-3
ENSG00000005007	ENSG00000070366	1.8E-2
ENSG00000037241	ENSG00000070366	1.3E-2
ENSG00000063177	ENSG00000070366	1.4E-2
ENSG00000005156	ENSG00000070501	2.9E-1
ENSG00000062822	ENSG00000070501	1.1E-1
ENSG00000005007	ENSG00000070756	1.2E-2
ENSG00000037241	ENSG00000070756	8.8E-3
ENSG00000063046	ENSG00000070756	1.1E-2
ENSG00000063177	ENSG00000070756	8.9E-3
ENSG00000070366	ENSG00000070756	1.2E-2
ENSG00000008130	ENSG00000070761	1.6E-1
ENSG00000008294	ENSG00000070831	1.1E-1
ENSG00000063660	ENSG00000070831	1.3E-1
ENSG00000064309	ENSG00000070831	7.4E-2
ENSG00000065320	ENSG00000070831	5.4E-2
ENSG00000003756	ENSG00000071894	1E-2
ENSG00000005075	ENSG00000071894	6.5E-3
ENSG00000011304	ENSG00000071894	1E-2
ENSG00000030066	ENSG00000071894	6.9E-3
ENSG00000047315	ENSG00000071894	6.5E-3
ENSG00000047410	ENSG00000071894	1.3E-2
ENSG00000060339	ENSG00000071894	1E-2
ENSG00000060688	ENSG00000071894	1E-2
ENSG00000063244	ENSG00000071894	8.7E-3
ENSG00000065978	ENSG00000071894	1E-2
ENSG00000069248	ENSG00000071894	6.9E-3
ENSG00000005249	ENSG00000072062	1.6E-2
ENSG00000007168	ENSG00000072062	9.4E-3
ENSG00000037042	ENSG00000072062	1.5E-2
ENSG00000046651	ENSG00000072062	1.6E-2
ENSG00000276111	ENSG00000072062	1.6E-2
ENSG00000004897	ENSG00000072401	1.7E-2
ENSG00000008018	ENSG00000072401	1.5E-2
ENSG00000281221	ENSG00000072401	1.6E-2
ENSG00000041357	ENSG00000072401	1.5E-2
ENSG00000053900	ENSG00000072401	1.5E-2
ENSG00000068878	ENSG00000072401	1.5E-2
ENSG00000003756	ENSG00000072501	8.2E-3
ENSG00000005075	ENSG00000072501	5.3E-3
ENSG00000011304	ENSG00000072501	8.2E-3
ENSG00000012048	ENSG00000072501	1.5E-2
ENSG00000047315	ENSG00000072501	5.3E-3
ENSG00000054654	ENSG00000072501	1.7E-2
ENSG00000060339	ENSG00000072501	8.2E-3
ENSG00000060688	ENSG00000072501	8.2E-3
ENSG00000063244	ENSG00000072501	7.1E-3
ENSG00000065978	ENSG00000072501	8.2E-3
ENSG00000066923	ENSG00000072501	1.3E-2
ENSG00000071894	ENSG00000072501	7E-3
ENSG00000002822	ENSG00000275911	8.9E-3
ENSG00000005249	ENSG00000275911	9.3E-3
ENSG00000007168	ENSG00000275911	5.7E-3
ENSG00000030066	ENSG00000275911	5.5E-3
ENSG00000031691	ENSG00000275911	7.6E-3
ENSG00000037042	ENSG00000275911	9.1E-3
ENSG00000040275	ENSG00000275911	8.9E-3
ENSG00000046651	ENSG00000275911	9.3E-3
ENSG00000276111	ENSG00000275911	9.3E-3
ENSG00000068796	ENSG00000275911	8.9E-3
ENSG00000069248	ENSG00000275911	5.5E-3
ENSG00000072062	ENSG00000275911	9.2E-3
ENSG00000005156	ENSG00000073050	5.7E-1
ENSG00000070501	ENSG00000073050	2.9E-1
ENSG00000006634	ENSG00000073111	3.3E-2
ENSG00000014138	ENSG00000073111	2.5E-2
ENSG00000065328	ENSG00000073111	3.2E-2
ENSG00000002822	ENSG00000074054	8.9E-3
ENSG00000005249	ENSG00000074054	9.3E-3
ENSG00000007168	ENSG00000074054	5.7E-3
ENSG00000030066	ENSG00000074054	5.5E-3
ENSG00000031691	ENSG00000074054	7.6E-3
ENSG00000037042	ENSG00000074054	9.1E-3
ENSG00000040275	ENSG00000074054	8.9E-3
ENSG00000046651	ENSG00000074054	9.3E-3
ENSG00000276111	ENSG00000074054	9.3E-3
ENSG00000068796	ENSG00000074054	8.9E-3
ENSG00000069248	ENSG00000074054	5.5E-3
ENSG00000072062	ENSG00000074054	9.2E-3
ENSG00000275911	ENSG00000074054	5.5E-3
ENSG00000006128	ENSG00000075073	7.1E-1
ENSG00000002822	ENSG00000075188	9.8E-3
ENSG00000007168	ENSG00000075188	6.2E-3
ENSG00000030066	ENSG00000075188	6.1E-3
ENSG00000031691	ENSG00000075188	8.4E-3
ENSG00000040275	ENSG00000075188	9.8E-3
ENSG00000047410	ENSG00000075188	1.1E-2
ENSG00000064703	ENSG00000075188	1.5E-2
ENSG00000068796	ENSG00000075188	9.8E-3
ENSG00000069248	ENSG00000075188	6.1E-3
ENSG00000275911	ENSG00000075188	6.1E-3
ENSG00000074054	ENSG00000075188	6.1E-3
ENSG00000006607	ENSG00000075213	1.4E-1
ENSG00000010810	ENSG00000075213	4.6E-2
ENSG00000006634	ENSG00000076003	3.2E-2
ENSG00000014138	ENSG00000076003	2.5E-2
ENSG00000065328	ENSG00000076003	3.1E-2
ENSG00000073111	ENSG00000076003	2.8E-2
ENSG00000005075	ENSG00000076924	1.9E-2
ENSG00000012061	ENSG00000076924	5.6E-2
ENSG00000020426	ENSG00000076924	2.6E-2
ENSG00000047315	ENSG00000076924	1.9E-2
ENSG00000049167	ENSG00000076924	7.4E-2
ENSG00000013503	ENSG00000077235	4.4E-2
ENSG00000058600	ENSG00000077235	4.4E-2
ENSG00000061337	ENSG00000077235	4.4E-2
ENSG00000003756	ENSG00000077312	1.2E-2
ENSG00000005075	ENSG00000077312	8.1E-3
ENSG00000011304	ENSG00000077312	1.2E-2
ENSG00000047315	ENSG00000077312	8.1E-3
ENSG00000060339	ENSG00000077312	1.2E-2
ENSG00000060688	ENSG00000077312	1.2E-2
ENSG00000063244	ENSG00000077312	1.1E-2
ENSG00000065978	ENSG00000077312	1.2E-2
ENSG00000071894	ENSG00000077312	1.1E-2
ENSG00000072501	ENSG00000077312	8.8E-3
ENSG00000075914	ENSG00000077348	5.9E-2
ENSG00000005249	ENSG00000077380	1.6E-2
ENSG00000007168	ENSG00000077380	9.6E-3
ENSG00000037042	ENSG00000077380	1.5E-2
ENSG00000046651	ENSG00000077380	1.6E-2
ENSG00000276111	ENSG00000077380	1.6E-2
ENSG00000072062	ENSG00000077380	1.6E-2
ENSG00000275911	ENSG00000077380	9.3E-3
ENSG00000074054	ENSG00000077380	9.3E-3
ENSG00000005961	ENSG00000077420	9.5E-2
ENSG00000050820	ENSG00000077420	2.4E-1
ENSG00000014138	ENSG00000077514	3E-2
ENSG00000035928	ENSG00000077514	5.4E-2
ENSG00000049541	ENSG00000077514	7.9E-2
ENSG00000062822	ENSG00000077514	5.7E-2
ENSG00000070501	ENSG00000077514	7.8E-2
ENSG00000058335	ENSG00000077522	2.2E-1
ENSG00000066923	ENSG00000077800	4.6E-2
ENSG00000072501	ENSG00000077800	2.1E-2
ENSG00000012048	ENSG00000077935	3.3E-2
ENSG00000054654	ENSG00000077935	3.8E-2
ENSG00000066923	ENSG00000077935	2.7E-2
ENSG00000072501	ENSG00000077935	1.3E-2
ENSG00000077800	ENSG00000077935	4.6E-2
ENSG00000007402	ENSG00000078124	5.8E-1
ENSG00000006638	ENSG00000078369	1.4E-1
ENSG00000005249	ENSG00000078674	1.6E-2
ENSG00000007168	ENSG00000078674	9.6E-3
ENSG00000037042	ENSG00000078674	1.5E-2
ENSG00000046651	ENSG00000078674	1.6E-2
ENSG00000276111	ENSG00000078674	1.6E-2
ENSG00000072062	ENSG00000078674	1.6E-2
ENSG00000275911	ENSG00000078674	9.3E-3
ENSG00000074054	ENSG00000078674	9.3E-3
ENSG00000077380	ENSG00000078674	1.6E-2
ENSG00000077549	ENSG00000079691	1E0
ENSG00000274473	ENSG00000080293	1E0
ENSG00000063046	ENSG00000080802	4.2E-2
ENSG00000070756	ENSG00000080802	2.8E-2
ENSG00000005249	ENSG00000080824	1.5E-2
ENSG00000007168	ENSG00000080824	9E-3
ENSG00000037042	ENSG00000080824	1.4E-2
ENSG00000046651	ENSG00000080824	1.5E-2
ENSG00000276111	ENSG00000080824	1.5E-2
ENSG00000070761	ENSG00000080824	6.8E-3
ENSG00000072062	ENSG00000080824	1.5E-2
ENSG00000275911	ENSG00000080824	8.8E-3
ENSG00000074054	ENSG00000080824	8.8E-3
ENSG00000077380	ENSG00000080824	1.5E-2
ENSG00000078674	ENSG00000080824	1.5E-2
ENSG00000002822	ENSG00000080986	1.5E-2
ENSG00000007168	ENSG00000080986	9.2E-3
ENSG00000030066	ENSG00000080986	9E-3
ENSG00000031691	ENSG00000080986	1.2E-2
ENSG00000040275	ENSG00000080986	1.5E-2
ENSG00000068796	ENSG00000080986	1.5E-2
ENSG00000069248	ENSG00000080986	9E-3
ENSG00000275911	ENSG00000080986	9E-3
ENSG00000074054	ENSG00000080986	9E-3
ENSG00000075188	ENSG00000080986	9.9E-3
ENSG00000005020	ENSG00000082074	5.9E-1
ENSG00000005075	ENSG00000082258	1.4E-2
ENSG00000011007	ENSG00000082258	3.9E-2
ENSG00000020426	ENSG00000082258	1.8E-2
ENSG00000047315	ENSG00000082258	1.4E-2
ENSG00000282752	ENSG00000082258	3.8E-2
ENSG00000030066	ENSG00000082516	1.2E-2
ENSG00000047410	ENSG00000082516	2.3E-2
ENSG00000064703	ENSG00000082516	3.1E-2
ENSG00000069248	ENSG00000082516	1.2E-2
ENSG00000074201	ENSG00000082516	8.4E-2
ENSG00000075188	ENSG00000082516	1.4E-2
ENSG00000035403	ENSG00000082781	1.2E-1
ENSG00000002822	ENSG00000082898	1.1E-2
ENSG00000007168	ENSG00000082898	6.9E-3
ENSG00000030066	ENSG00000082898	6.7E-3
ENSG00000031691	ENSG00000082898	9.3E-3
ENSG00000040275	ENSG00000082898	1.1E-2
ENSG00000047410	ENSG00000082898	1.3E-2
ENSG00000068796	ENSG00000082898	1.1E-2
ENSG00000069248	ENSG00000082898	6.7E-3
ENSG00000275911	ENSG00000082898	6.8E-3
ENSG00000074054	ENSG00000082898	6.8E-3
ENSG00000075188	ENSG00000082898	7.4E-3
ENSG00000080986	ENSG00000082898	1.1E-2
ENSG00000012048	ENSG00000083093	4.3E-1
ENSG00000075914	ENSG00000083312	5.7E-2
ENSG00000077348	ENSG00000083312	5.7E-2
ENSG00000075914	ENSG00000083520	5.9E-2
ENSG00000077348	ENSG00000083520	5.9E-2
ENSG00000083312	ENSG00000083520	5.7E-2
ENSG00000005007	ENSG00000083845	1.1E-2
ENSG00000037241	ENSG00000083845	8.3E-3
ENSG00000063046	ENSG00000083845	1.1E-2
ENSG00000063177	ENSG00000083845	8.5E-3
ENSG00000067167	ENSG00000083845	1.1E-2
ENSG00000070366	ENSG00000083845	1.1E-2
ENSG00000070756	ENSG00000083845	7.3E-3
ENSG00000063046	ENSG00000084623	2.5E-2
ENSG00000070756	ENSG00000084623	1.6E-2
ENSG00000083845	ENSG00000084623	1.6E-2
ENSG00000000938	ENSG00000084674	1.1E-1
ENSG00000005339	ENSG00000084676	2E-2
ENSG00000008838	ENSG00000084676	2E-2
ENSG00000042429	ENSG00000084676	2E-2
ENSG00000063322	ENSG00000084676	2E-2
ENSG00000030066	ENSG00000084734	2E-2
ENSG00000047410	ENSG00000084734	3.7E-2
ENSG00000069248	ENSG00000084734	2E-2
ENSG00000075188	ENSG00000084734	2.2E-2
ENSG00000020426	ENSG00000278494	2.7E-2
ENSG00000068654	ENSG00000278494	7.3E-2
ENSG00000006125	ENSG00000085832	7.6E-2
ENSG00000042753	ENSG00000085832	7.9E-2
ENSG00000006634	ENSG00000085840	3.4E-2
ENSG00000014138	ENSG00000085840	2.6E-2
ENSG00000065328	ENSG00000085840	3.3E-2
ENSG00000073111	ENSG00000085840	3E-2
ENSG00000076003	ENSG00000085840	3E-2
ENSG00000009844	ENSG00000086065	2.2E-1
ENSG00000002822	ENSG00000086827	1.4E-2
ENSG00000007168	ENSG00000086827	9.1E-3
ENSG00000030066	ENSG00000086827	8.9E-3
ENSG00000031691	ENSG00000086827	1.2E-2
ENSG00000040275	ENSG00000086827	1.4E-2
ENSG00000068796	ENSG00000086827	1.4E-2
ENSG00000069248	ENSG00000086827	8.9E-3
ENSG00000275911	ENSG00000086827	8.9E-3
ENSG00000074054	ENSG00000086827	8.9E-3
ENSG00000075188	ENSG00000086827	9.8E-3
ENSG00000080986	ENSG00000086827	1.5E-2
ENSG00000082898	ENSG00000086827	1.1E-2
ENSG00000011422	ENSG00000087111	1.3E-1
ENSG00000008018	ENSG00000087191	1.8E-2
ENSG00000281221	ENSG00000087191	2E-2
ENSG00000041357	ENSG00000087191	1.8E-2
ENSG00000053900	ENSG00000087191	1.8E-2
ENSG00000068878	ENSG00000087191	1.8E-2
ENSG00000072401	ENSG00000087191	1.6E-2
ENSG00000084674	ENSG00000087237	2.2E-1
ENSG00000003756	ENSG00000087365	1.2E-2
ENSG00000005075	ENSG00000087365	7.5E-3
ENSG00000011304	ENSG00000087365	1.2E-2
ENSG00000047315	ENSG00000087365	7.5E-3
ENSG00000060339	ENSG00000087365	1.2E-2
ENSG00000060688	ENSG00000087365	1.2E-2
ENSG00000063244	ENSG00000087365	1E-2
ENSG00000065978	ENSG00000087365	1.2E-2
ENSG00000071894	ENSG00000087365	1E-2
ENSG00000072501	ENSG00000087365	8.2E-3
ENSG00000077312	ENSG00000087365	1.2E-2
ENSG00000078369	ENSG00000087460	6.4E-2
ENSG00000063046	ENSG00000277615	4.2E-2
ENSG00000070756	ENSG00000277615	2.8E-2
ENSG00000080802	ENSG00000277615	1.1E-1
ENSG00000010810	ENSG00000278670	6.2E-2
ENSG00000051382	ENSG00000278670	1.9E-1
ENSG00000075914	ENSG00000088247	6.7E-2
ENSG00000077348	ENSG00000088247	6.7E-2
ENSG00000083520	ENSG00000088247	6.7E-2
ENSG00000075711	ENSG00000088367	3.2E-1
ENSG00000003400	ENSG00000088888	9.2E-2
ENSG00000052723	ENSG00000088888	9.2E-2
ENSG00000057663	ENSG00000088888	1.3E-1
ENSG00000064012	ENSG00000088888	3.9E-2
ENSG00000068308	ENSG00000088888	3.1E-1
ENSG00000078747	ENSG00000088888	2.2E-1
ENSG00000005249	ENSG00000088986	1.6E-2
ENSG00000007168	ENSG00000088986	9.7E-3
ENSG00000037042	ENSG00000088986	1.6E-2
ENSG00000046651	ENSG00000088986	1.6E-2
ENSG00000276111	ENSG00000088986	1.6E-2
ENSG00000072062	ENSG00000088986	1.6E-2
ENSG00000275911	ENSG00000088986	9.4E-3
ENSG00000074054	ENSG00000088986	9.4E-3
ENSG00000077380	ENSG00000088986	1.6E-2
ENSG00000078674	ENSG00000088986	1.6E-2
ENSG00000080824	ENSG00000088986	1.5E-2
ENSG00000005007	ENSG00000089009	1.4E-2
ENSG00000037241	ENSG00000089009	1E-2
ENSG00000063177	ENSG00000089009	1E-2
ENSG00000067167	ENSG00000089009	1.4E-2
ENSG00000070366	ENSG00000089009	1.4E-2
ENSG00000070756	ENSG00000089009	8.9E-3
ENSG00000083845	ENSG00000089009	8.5E-3
ENSG00000008018	ENSG00000089053	1.6E-2
ENSG00000281221	ENSG00000089053	1.8E-2
ENSG00000041357	ENSG00000089053	1.6E-2
ENSG00000068878	ENSG00000089053	1.6E-2
ENSG00000072401	ENSG00000089053	1.5E-2
ENSG00000087191	ENSG00000089053	1.8E-2
ENSG00000005007	ENSG00000089157	1.4E-2
ENSG00000037241	ENSG00000089157	1E-2
ENSG00000063177	ENSG00000089157	1E-2
ENSG00000067167	ENSG00000089157	1.4E-2
ENSG00000070366	ENSG00000089157	1.4E-2
ENSG00000070756	ENSG00000089157	8.9E-3
ENSG00000083845	ENSG00000089157	8.5E-3
ENSG00000089009	ENSG00000089157	1E-2
ENSG00000035403	ENSG00000089159	1E-1
ENSG00000082781	ENSG00000089159	9.6E-2
ENSG00000002822	ENSG00000089685	1.5E-2
ENSG00000007168	ENSG00000089685	9.6E-3
ENSG00000030066	ENSG00000089685	9.3E-3
ENSG00000031691	ENSG00000089685	1.3E-2
ENSG00000040275	ENSG00000089685	1.5E-2
ENSG00000068796	ENSG00000089685	1.5E-2
ENSG00000069248	ENSG00000089685	9.3E-3
ENSG00000275911	ENSG00000089685	9.3E-3
ENSG00000074054	ENSG00000089685	9.3E-3
ENSG00000075188	ENSG00000089685	1E-2
ENSG00000080986	ENSG00000089685	1.5E-2
ENSG00000082898	ENSG00000089685	1.1E-2
ENSG00000086827	ENSG00000089685	1.5E-2
ENSG00000004487	ENSG00000089902	2E-1
ENSG00000064961	ENSG00000089902	2E-1
ENSG00000003756	ENSG00000090060	1.2E-2
ENSG00000005075	ENSG00000090060	7.6E-3
ENSG00000011304	ENSG00000090060	1.2E-2
ENSG00000047315	ENSG00000090060	7.6E-3
ENSG00000060339	ENSG00000090060	1.2E-2
ENSG00000060688	ENSG00000090060	1.2E-2
ENSG00000063244	ENSG00000090060	1E-2
ENSG00000065978	ENSG00000090060	1.2E-2
ENSG00000071894	ENSG00000090060	1E-2
ENSG00000072501	ENSG00000090060	8.2E-3
ENSG00000087365	ENSG00000090060	1.2E-2
ENSG00000004779	ENSG00000090266	2.3E-2
ENSG00000283447	ENSG00000090266	2.3E-2
ENSG00000065518	ENSG00000090266	2.3E-2
ENSG00000002822	ENSG00000090273	1.5E-2
ENSG00000030066	ENSG00000090273	9E-3
ENSG00000031691	ENSG00000090273	1.2E-2
ENSG00000040275	ENSG00000090273	1.5E-2
ENSG00000068796	ENSG00000090273	1.5E-2
ENSG00000069248	ENSG00000090273	9E-3
ENSG00000275911	ENSG00000090273	9E-3
ENSG00000074054	ENSG00000090273	9E-3
ENSG00000075188	ENSG00000090273	9.9E-3
ENSG00000080986	ENSG00000090273	1.5E-2
ENSG00000082898	ENSG00000090273	1.1E-2
ENSG00000086827	ENSG00000090273	1.5E-2
ENSG00000089685	ENSG00000090273	1.5E-2
ENSG00000005075	ENSG00000090372	2.3E-3
ENSG00000005156	ENSG00000090372	2.4E-2
ENSG00000010610	ENSG00000090372	1.1E-2
ENSG00000011376	ENSG00000090372	1.1E-1
ENSG00000020426	ENSG00000090372	3.1E-3
ENSG00000031698	ENSG00000090372	1.1E-1
ENSG00000047315	ENSG00000090372	2.3E-3
ENSG00000062822	ENSG00000090372	9E-3
ENSG00000064995	ENSG00000090372	6.3E-3
ENSG00000065427	ENSG00000090372	1E-2
ENSG00000066813	ENSG00000090372	1.1E-1
ENSG00000067704	ENSG00000090372	1.1E-1
ENSG00000068120	ENSG00000090372	1.1E-1
ENSG00000068366	ENSG00000090372	1.1E-1
ENSG00000070501	ENSG00000090372	1.2E-2
ENSG00000070669	ENSG00000090372	1.8E-2
ENSG00000070761	ENSG00000090372	1.9E-3
ENSG00000073050	ENSG00000090372	2.4E-2
ENSG00000077514	ENSG00000090372	6.6E-3
ENSG00000077721	ENSG00000090372	1.1E-1
ENSG00000079459	ENSG00000090372	1.1E-1
ENSG00000083807	ENSG00000090372	1.1E-1
ENSG00000087460	ENSG00000090372	1E-2
ENSG00000090372	ENSG00000090861	1.1E-1
ENSG00000083123	ENSG00000091140	2.2E-1
ENSG00000050555	ENSG00000091409	1.6E-1
