				node_types		node_column
				biolink:Gene		ENSG00000004059
				biolink:Protein		ENSP00000000233
				biolink:Gene		ENSG00000143933
				biolink:Protein		ENSP00000272298
				biolink:Gene		ENSG00000131089
				biolink:Protein		ENSP00000253401
				biolink:Gene		ENSG00000178607
				biolink:Protein		ENSP00000401445
				biolink:Gene		ENSG00000147889
				biolink:Protein		ENSP00000418915
				biolink:Gene		ENSG00000185624
				biolink:Protein		ENSP00000327801
				biolink:Gene		ENSG00000104915
				biolink:Protein		ENSP00000466298
				biolink:Gene		ENSG00000114450
				biolink:Protein		ENSP00000232564
				biolink:Gene		ENSG00000168280
				biolink:Protein		ENSP00000393379
				biolink:Gene		ENSG00000159131
				biolink:Protein		ENSP00000371253
				biolink:Gene		ENSG00000211456
				biolink:Protein		ENSP00000373713
				biolink:Gene		ENSG00000100359
				biolink:Protein		ENSP00000248929
				biolink:Gene		ENSG00000120370
				biolink:Protein		ENSP00000356737
				biolink:Gene		ENSG00000113971
				biolink:Protein		ENSP00000338766
				biolink:Gene		ENSG00000196730
				biolink:Protein		ENSP00000386135
				biolink:Gene		ENSG00000164543
				biolink:Protein		ENSP00000319192
				biolink:Gene		ENSG00000173898
				biolink:Protein		ENSP00000432568
				biolink:Gene		ENSG00000197892
				biolink:Protein		ENSP00000427900
				biolink:Gene		ENSG00000091428
				biolink:Protein		ENSP00000380271
				biolink:Protein		ENSP00000256935
				biolink:Gene		ENSG00000130413
				biolink:Protein		ENSP00000416750
				biolink:Protein		ENSP00000387536
				biolink:Gene		ENSG00000140682
				biolink:Protein		ENSP00000378332
				biolink:Protein		ENSP00000350052
				biolink:Gene		ENSG00000136237
				biolink:Protein		ENSP00000343656
				biolink:Gene		ENSG00000100280
				biolink:Protein		ENSP00000350199
				biolink:Gene		ENSG00000110756
				biolink:Protein		ENSP00000265967
				biolink:Gene		ENSG00000130762
				biolink:Protein		ENSP00000367629
				biolink:Gene		ENSG00000229474
				biolink:Protein		ENSP00000416673
				biolink:Gene		ENSG00000081803
				biolink:Protein		ENSP00000398481
				biolink:Gene		ENSG00000169967
				biolink:Protein		ENSP00000387246
				biolink:Gene		ENSG00000178462
				biolink:Protein		ENSP00000369784
				biolink:Gene		ENSG00000141404
				biolink:Protein		ENSP00000334051
				biolink:Protein		ENSP00000383118
				biolink:Gene		ENSG00000047936
				biolink:Protein		ENSP00000357494
				biolink:Gene		ENSG00000196199
				biolink:Protein		ENSP00000355388
				biolink:Gene		ENSG00000125447
				biolink:Protein		ENSP00000438085
				biolink:Gene		ENSG00000030304
				biolink:Protein		ENSP00000363571
				biolink:Protein		ENSP00000355589
				biolink:Gene		ENSG00000104946
				biolink:Protein		ENSP00000221543
				biolink:Gene		ENSG00000006125
				biolink:Protein		ENSP00000482835
				biolink:Gene		ENSG00000139116
				biolink:Protein		ENSP00000354878
				biolink:Gene		ENSG00000064393
				biolink:Protein		ENSP00000385571
				biolink:Gene		ENSG00000165138
				biolink:Protein		ENSP00000297837
				biolink:Gene		ENSG00000112079
				biolink:Protein		ENSP00000229812
				biolink:Protein		ENSP00000310521
				biolink:Gene		ENSG00000102048
				biolink:Protein		ENSP00000369855
				biolink:Gene		ENSG00000145780
				biolink:Protein		ENSP00000274457
				biolink:Gene		ENSG00000175662
				biolink:Protein		ENSP00000368818
				biolink:Gene		ENSG00000084112
				biolink:Protein		ENSP00000315713
				biolink:Gene		ENSG00000151726
				biolink:Protein		ENSP00000422607
				biolink:Gene		ENSG00000149923
				biolink:Protein		ENSP00000279387
				biolink:Gene		ENSG00000137285
				biolink:Protein		ENSP00000259818
				biolink:Gene		ENSG00000134970
				biolink:Protein		ENSP00000405926
				biolink:Gene		ENSG00000115446
				biolink:Protein		ENSP00000350409
				biolink:Gene		ENSG00000123570
				biolink:Protein		ENSP00000243298
				biolink:Gene		ENSG00000104490
				biolink:Protein		ENSP00000379256
				biolink:Gene		ENSG00000143499
				biolink:Protein		ENSP00000355924
				biolink:Gene		ENSG00000099889
				biolink:Protein		ENSP00000263207
				biolink:Gene		ENSG00000123684
				biolink:Protein		ENSP00000355964
				biolink:Gene		ENSG00000149823
				biolink:Protein		ENSP00000279281
				biolink:Gene		ENSG00000156011
				biolink:Protein		ENSP00000324127
				biolink:Gene		ENSG00000188130
				biolink:Protein		ENSP00000215659
				biolink:Gene		ENSG00000163947
				biolink:Protein		ENSP00000341071
				biolink:Gene		ENSG00000084733
				biolink:Protein		ENSP00000264710
				biolink:Gene		ENSG00000112655
				biolink:Protein		ENSP00000418754
				biolink:Gene		ENSG00000221914
				biolink:Protein		ENSP00000325074
				biolink:Gene		ENSG00000100360
				biolink:Protein		ENSP00000393541
				biolink:Gene		ENSG00000135341
				biolink:Protein		ENSP00000358335
				biolink:Gene		ENSG00000139719
				biolink:Protein		ENSP00000267199
				biolink:Gene		ENSG00000126822
				biolink:Protein		ENSP00000247226
				biolink:Gene		ENSG00000156475
				biolink:Protein		ENSP00000377936
				biolink:Gene		ENSG00000131435
				biolink:Protein		ENSP00000253754
				biolink:Protein		ENSP00000344871
				biolink:Gene		ENSG00000115085
				biolink:Protein		ENSP00000264972
				biolink:Protein		ENSP00000450730
				biolink:Gene		ENSG00000151422
				biolink:Protein		ENSP00000281092
				biolink:Gene		ENSG00000164219
				biolink:Protein		ENSP00000404676
				biolink:Gene		ENSG00000151092
				biolink:Protein		ENSP00000280700
				biolink:Gene		ENSG00000101199
				biolink:Protein		ENSP00000314615
				biolink:Gene		ENSG00000143344
				biolink:Protein		ENSP00000303192
				biolink:Gene		ENSG00000088538
				biolink:Protein		ENSP00000266037
				biolink:Gene		ENSG00000112210
